Product code;Description
3BA00296AC;B.PACK.CPU3-3 M2 ACT14
3BA00315AC;B.PACK.CPU5-3 M2 ACT28
3BA00314AC;B.PACK.CPU5-3 M2 ACT14
3BA00300AC;B.PACK.CPU3-3 MI PS230V ACT14
3BA00318AC;B.PACK.CPU5-3 MI PS230V ACT14
3BA00319AC;B.PACK.CPU5-3 MI PS230V ACT28
3BA00301AC;B.PACK.CPU3-3 MI PS230V ACT28
3BA00297AC;B.PACK.CPU3-3 M2 ACT28
3BA00299AC;B.PACK.CPU3-3 M3 ACT28
3BA00317AC;B.PACK.CPU5-3 M3 ACT28
3BA00316AC;B.PACK.CPU5-3 M3 ACT14
3BA00298AC;B.PACK.CPU3-3 M3 ACT14
3BA00305AC;B.PACK.CPU5-3 VH (UA32)
3BA00304AC;B.PACK.CPU5-3 VH (UA16)
3BA00287AC;B.PACK.CPU3-3 VH (UA32)
3BA00286AC;B.PACK.CPU3-3 VH (UA16)
3BA00288AC;B.PACK.CPU3-3 VH (UA/ZP)
3BA00306AC;B.PACK.CPU5-3 VH (UA/ZP)
3BA00308AC;B.PACK.CPU5-3 VH PS (UA32)
3BA00307AC;B.PACK.CPU5-3 VH PS (UA16)
3BA00290AC;B.PACK.CPU3-3 VH PS (UA32)
3BA00289AC;B.PACK.CPU3-3 VH PS (UA16)
3BA00291AC;B.PACK.CPU3-3 VH PS (UA/ZP)
3BA00309AC;B.PACK.CPU5-3 VH PS (UA/ZP)
3BA00293AC;B.PACK.CPU3-3 WM1 (UA32)
3BA00311AC;B.PACK.CPU5-3 WM1 (UA32)
3BA00310AC;B.PACK.CPU5-3 WM1 (UA16)
3BA00295AC;B.PACK.CPU3-3 WM1 PS (UA32)
3BA00313AC;B.PACK.CPU5-3 WM1 PS (UA32)
3BA00294AC;B.PACK.CPU3-3 WM1 PS (UA16)
3BA00312AC;B.PACK.CPU5-3 WM1 PS (UA16)
3BA00292AC;B.PACK.CPU3-3 WM1 (UA16)
3BA00352AA;B.PACK.CPU6 VH (UA16)
3BA00353AA;B.PACK.CPU6 VH (UA32)
3BA00354AA;B.PACK.CPU6 VH (UA/ZP)
3BA00355AA;B.PACK.CPU6 VH PS (UA16)
3BA00356AA;B.PACK.CPU6 VH PS (UA32)
3BA00357AA;B.PACK.CPU6 VH PS (UA/ZP)
3BA00358AA;B.PACK.CPU6 WM1 (UA16)
3BA00359AA;B.PACK.CPU6 WM1 (UA32)
3BA00360AA;B.PACK.CPU6 WM1 PS (UA16)
3BA00361AA;B.PACK.CPU6 WM1 PS (UA32)
3BA00362AA;B.PACK.CPU6 M2 ACT14
3BA00363AA;B.PACK.CPU6 M2 ACT28
3BA00364AA;B.PACK.CPU6 M3 ACT14
3BA00365AA;B.PACK.CPU6 M3 ACT28
3BA00366AA;B.PACK.CPU6 MI PS230V ACT14
3BA00367AA;B.PACK.CPU6 MI PS230V ACT28
3BA56005AA;US SHELF
3BA56006AA;ACT14 SHELF
3BA56007AA;ACT28 SHELF
3BA56063AM;M2 PACKED DOORS FRONT & REAR
3BA56064AM;M3 PACKED DOORS FRONT & REAR
3BA56065AA;M2 PACKED LATERAL SIDES
3BA56066AA;M3 PACKED LATERAL SIDES
3BA26232AA;MI PACKED JOINING PANELS
3BA56101AA;M2/M3 TOP FANS RACK ASSEMBLED
3BA00070AC;M2 EMPTY CABINET
3BA00071AC;M3 EMPTY CABINET
3BA56018AA;M2 ASSEMBLED RACK
3BA56191AM;VH BASIC RACK 48V
3BA56193AM;VH BASIC RACK 90W
3BA56144AA;M1 TOP FANS RACK ASSEMBLED
