3EH76034AA;BLIND SLOT STIFFENER
3EH08112GA;OMNIPCXOFFICE S ISDN-XS
3EH08113GA;OMNIPCXOFFICE S ISDN-UA
3EH08114GA;OMNIPCXOFFICE S ISDN-SL
3EH08115GA;OMNIPCXOFFICE S-XS
3EH08116GA;OMNIPCXOFFICE S-UA
3EH08117GA;OMNIPCXOFFICE S-SL
3EH08097GA;OMNIPCXOFFICE M 230V
3EH08083GA;OMNIPCXOFFICE L 230V
3EH08084GA;OMNIPCXOFFICE XL 230V
3EH08109GA;OMNIPCXOFFICE E-S ISDN-XS
3EH08110GA;OMNIPCXOFFICE E-S ISDN-UA
3EH08111GA;OMNIPCXOFFICE E-S ISDN-SL
3EH08100GA;OMNIPCXOFFICE E-M 230V
3EH08085GA;OMNIPCXOFFICE E-L 230V
3EH08086GA;OMNIPCXOFFICE E-XL 230V
3EH07339GB;OMNIPCXOFFICE E-M PROMO 230V
3EH07340GB;OMNIPCXOFFICE E-L PROMO 230V
3EH73006AD;ISDN ACCESS T0 BRA2 BOARD
3EH73006AC;ISDN ACCESS T0 BRA4 BOARD
3EH73006AB;ISDN ACCESS T0 BRA8 BOARD
3EH76037AA;ISDN ACCESS E1 PRA-T2 BOARD
3EH75004AA;T2 BALUN KIT RJ45/COAX
3EH76037AB;PRIVATE ACCESS E1 DLT2 BOARD
3EH73025BD;ANALOG TRUNK ACCESS ATA2 BOARD
3EH73025AD;ANALOG TRUNK ACCESS ATA4 BOARD
3BC35170AL;METERING CARD 16 KHZ (PL)
3EH73015AB;MIXED - MIX4/8/4 BOARD
3EH73015AC;MIXED - MIX4/4/8 BOARD
3EH73015AD;MIXED - MIX2/4/4 BOARD
3EH73015AE;MIXED - MIX0/8/4 BOARD
3EH73015AF;MIXED - MIX0/4/8 BOARD
3EH73015AG;MIXED - MIX0/4/4 BOARD
3EH73005AD;DIGITAL INTERFACES UAI4 BOARD
3EH73005AC;DIGITAL INTERFACES UAI8 BOARD
3EH73005AB;DIGITAL INTERFACES UAI16 BOARD
3EH73003AD;ANALOG INTERFACES SLI4 BOARD
3EH73003AC;ANALOG INTERFACES SLI8 BOARD
3EH73003AB;ANALOG INTERFACES SLI16 BOARD
3EH73020AB;ETHERN. LANSWITCH LANX8 BOARD
3EH73021AB;ETHERN. LANSWITCH LANX16 BOARD
3EH73013AB;SLANX4 CARD
3EH73026AE;INTERNET COPROCESSING BOARD
3EH73029AB;WAN CARD
3EH73004AC;XMEM64 CARD
3EH08090AA;VOICE HARD DISK
3EH08090AB;DATA HARD DISK
3EH73009AB;AFU CARD A LAW
3EH08101AA;EXPANSION MODULE RACK 1
3EH08102AA;EXPANSION MODULE RACK 2 230V
3EH08087AA;EXPANSION MODULE RACK 3 230V
3EH76090AB;POWER BACK-UP 650VA
3EH76090AA;POWER BACK-UP 300VA
3EH75012AA;POWER BACK-UP RACK KIT
3EH76090AC;POWER BACK-UP 1200VA
3EH75007AA;MOUNTING KIT RACK 1
3EH75001AB;MOUNTING KIT RACK 3
3EH75010AA;MOUNTING KIT RACK 2
3EH73026AF;VOIP COPROCESSING BOARD
3EH73023AD;VOIP4/IDE CARD
3EH73023AC;VOIP8 CARD
3EH73023AB;VOIP16 CARD
3EH08088AA;MODULE LINK KIT 1
3EH08089AA;MODULE LINK KIT 2
3AC36070AA;4097 PLUGW CBL-DECT GRAPH EU
3EU56003AA;4098FRE IP PLUGW GRAPH
3AK27124AB;4099 MULTI REFLEXES HUB GRAPH
3AK17040AB;CABLE V24 DCE DB9M/DB9F-3M(X5)
3AK21492AA;CPU LANSWITCH CABLE
3AK27048AB;LINE CORD RJ11 6/4W-5M (X10)
3AK27048BC;LINE CORD RJ45 8/4W-5M (X10)
3AK27049AB;LINE CORD RJ45/RJ45 8W-3M(X10)
3AK27111AB;HANDSET BLACK CORD-0.6M (X10)
3AK27112BA;LABEL SHEET BLANK 4020/35(X50)
3AK27112DB;LABEL SHEET GRAPH 4035 (X50)
3AK27113DB;LABEL SHEET GRAPH 4020 (X50)
3AK27114BA;LABEL SHEET BLANK 4010 (X50)
3AK27114DB;LABEL SHEET GRAPH 4010 (X50)
3AK27115BA;LABEL SHEET BLANK 4004 (X50)
3AK27115BB;LABEL SHEET GRAPH 4004 (X50)
3AK27116BA;LABEL SHEET BLANK 4090 (X50)
3AK27116BB;LABEL SHEET GRAPH 4090 (X50)
3AK27121AB;HANDSET SOFT-GRIP GRAPH
3AK27127AA;4098FRE AC/DC ADAPTOR EU (X4)
3AK27128AA;4098FRE AC/DC ADAPTOR EU (X12)
3AK27120AB;4020/4035 WALL KIT
3AC07622AA;4070IO IBS WITH PS 220V EU
3AC36067AB;4070IO IBS REMOTE FEEDING IN
3AC36081AA;4070EO IBS REMOTE FEEDING OUT
3BN00001YY;MOBILE 100 SET EU
3BN00002YY;MOBILE 200 SET EU
3BN00003YY;MOBILE 200EX SET EU
3BD52205AA;ANTENNA 8DB RIGHT CIRC. POLAR.
3BD52206AA;ANTENNA 8DB LEFT CIRC. POLAR.
3BD52208AA;ANTENNA 2DB OMNIDIRECTIONAL
3BD52211AA;CONNECTOR SMA-M (D=3MM)
3BD52212AA;ANTENNA 7.5DB OMNIDIRECTIONAL
3BD52213AA;INDOOR SUSPENSION
3BD52214AA;IN/OUT CORNER WALL SUPPORT
3BD52215AA;IN/OUT REMOTE WALL MOUNTING
3BD52217AA;CORD SMA-M/M (D=5MM,L=1M)
3BD52218AA;2 CHANNELS SEPARATOR
3BD52219AA;3 CHANNELS SEPARATOR
3BD52220AA;LIGHTING ARRESTER SMA F/M
3BD52221AA;ADAPTOR SMA F/F
3BD52224AA;MAST FIXING KIT (D=40 TO 90MM)
3BD52225AA;COAXIAL CABLE (D=3MM,L=100M)
3BD52276AA;MOBILE 100/200 HEADSET BINAUR.
3BD52277AA;MOBILE 100/200 HEADSET EXPRESS
3BD52278AA;MOBILE 100/200 POUCH CITY
3BD52280AA;MOBILE 100/200 ANTI-NOISE HEAD
3BN67136AA;MOBILE 100/200 POOL/WALLM.(X5)
3BN67149AA;MOBILE 200EX LI-ION BATTERY
3BD52279AA;MOBILE 100/200 POUCH INDUS.
3BD52290AA;MOBILE 200EX CARRYING CASE
3BN67135AA;MOBILE 100/200 BELT CLIP (X5)
3BN67137AA;MOBILE 200 LI-ION BATTERY
3BN67138AA;MOBILE 100 NIMH BATTERY
3BN67113AB;MOBILE 100/200 VOICE CHARG EU
3BN67115AB;MOBILE 100/200 DUAL CHARG EU
3BN67116AB;MOBILE 100/200 BASIC CHARG EU
3BN67126AB;MOBILE 100/200 CORDED CHARG EU
3AK27097AA;IBS LOCAL PS 220V EU
3BH11573AA;4715 METERING ON PC 32 USERS
3BH11574AA;4715 METERING ON PC 64 USERS
3BH11575AA;4715 METERING ON PC 128 USERS
3BH11576AA;4715 METERING ON PC 256 USERS
3EH34002AA;CD-ROM TAPI SERVER 2.1
3BH11569AA;4715/40 UPGRADE 128/256 EXT
3BH11537CA;4715 ACCOUNTING BAS UPDATE 4.4
3BH11359AA;4715/40 UPGRADE 64-128 EXT
3BH11358AA;4715/40 UPGRADE 32-64 EXT
3EH34000AA;CD-ROM PIMPHONY-MANAGEM. TOOLS
3BA57194AA;HEADSET MONAURAL DIRECT. MICRO
3BA57195AA;HEADSET BINAURAL DIRECT. MICRO
3BA57209AA;HEADSET ADAPTOR
3BA57302AA;HEADSET MONAU.(DUOSET)+ BYWAY
3BA57323AA;IP HANDSET COMFORT KIT
3EH75002AA;12V/1,2AH BATTERY KIT
3EH75005AC;COOLING KIT RACK 2/3
3EH75008AA;COOLING KIT RACK 1
3EH04013AA;CPU STANDARD + SW TOOLS
3EH04014AA;CPUE ENHANCED 64 + SW TOOLS
3EH04015AA;CPUE 128 MB BOARD + SW TOOLS
3EH73026AD;CONTROLLER MEX BOARD
3EH08119AA;BLIND SLOT STIFFENERS KIT(X5)
3EH09010CC;MEMENTO OMNIPCXOFFICE RU (X50)
3EH09010DJ;MEMENTO OMNIPCXOFFICE EE (X50)
3EH09010DN;MEMENTO OMNIPCXOFFICE LV (X50)
3EH09010DP;MEMENTO OMNIPCXOFFICE LT (X50)
3EH09010DY;MEMENTO OMNIPCXOFFICE SI (X50)
3EH09010EJ;MEMENTO OMNIPCXOFFICE FR (X50)
3EH09010EN;MEMENTO OMNIPCXOFFICE EN (X50)
